,Name,Year,Position,Height,Weight,Pick,Vertical,Cluster,Topic,Frequent
0,Karl Towns,2015,4.5,84.0,248,1,36.5,2,2,"{u'interesting': 3, u'impressive': 6, u'physical': 3}"
1,D'Angelo Russell,2015,1.5,77.0,193,2,,2,2,"{u'heavy': 1, u'new': 2, u'elite': 2}"
2,Jahlil Okafor,2015,5.0,83.0,272,3,,2,2,"{u'major': 3, u'good': 4, u'old': 4}"
3,Kristaps Porzingis,2015,4.0,84.0,230,4,,2,2,"{u'exclusive': 1, u'unique': 1, u'impressive': 2}"
4,Mario Hezonja,2015,2.5,80.0,200,5,,2,2,"{u'poor': 3, u'spanish': 3, u'nice': 4}"
5,Willie Cauley-Stein,2015,5.0,85.0,242,6,,2,2,"{u'big': 3, u'major': 1, u'best': 2}"
6,Emmanuel Mudiay,2015,1.0,77.0,200,7,,1,1,"{u'great': 5, u'good': 6, u'physical': 4}"
7,Stanley Johnson,2015,3.0,79.0,242,8,,2,2,"{u'athletic': 2, u'good': 3, u'strong': 7}"
8,Frank Kaminsky,2015,4.0,85.0,231,9,,2,2,"{u'detailed': 2, u'past': 2, u'big': 2}"
9,Justise Winslow,2015,3.0,79.0,222,10,,2,2,"{u'good': 3, u'strong': 4, u'best': 3}"
10,Myles Turner,2015,5.0,84.0,239,11,,0,2,"{u'good': 5, u'potential': 6, u'great': 5}"
11,Trey Lyles,2015,4.0,82.0,241,12,,0,0,"{u'big': 7, u'good': 4, u'skilled': 4}"
12,Devin Booker,2015,2.0,78.0,206,13,34.5,2,2,"{u'great': 1, u'vertical': 1, u'outstanding': 1}"
13,Cameron Payne,2015,1.0,74.0,183,14,35.5,2,2,"{u'major': 1, u'productive': 1, u'private': 2}"
14,Kelly Oubre,2015,3.0,79.0,203,15,37.0,2,2,"{u'exclusive': 1, u'american': 3, u'great': 1}"
15,Terry Rozier,2015,1.0,74.0,190,16,38.0,2,1,"{u'athletic': 1, u'strong': 2, u'extra': 1}"
16,Rashad Vaughn,2015,2.0,77.0,199,17,34.0,2,0,"{u'polished': 1, u'impressive': 1, u'nice': 2}"
17,Sam Dekker,2015,3.0,81.0,219,18,34.5,2,0,"{u'huge': 1, u'head': 1, u'good': 4}"
